seq,llatitude,longitude,llatitude_utm,longitude_utm,option
139460,37.2399591,126.7741415,302562.547,4123813.837,0
139464,37.23995802,126.7741479,302563.1075,4123813.704,0
139468,37.23995731,126.7741545,302563.6891,4123813.611,0
139472,37.23995708,126.7741608,302564.2512,4123813.572,0
139477,37.2399572,126.7741677,302564.8654,4123813.572,0
139481,37.23995742,126.7741736,302565.3866,4123813.584,0
139485,37.23995771,126.7741796,302565.9191,4123813.603,0
139489,37.23995803,126.7741861,302566.5005,4123813.625,0
139494,37.23995853,126.7741929,302567.0998,4123813.666,0
139498,37.23995925,126.7741989,302567.6375,4123813.734,0
139502,37.23996021,126.7742049,302568.1747,4123813.828,0
139506,37.23996135,126.7742107,302568.6848,4123813.943,0
139510,37.23996267,126.7742164,302569.202,4123814.077,0
139514,37.23996412,126.7742219,302569.6923,4123814.226,0
139518,37.23996576,126.7742274,302570.1834,4123814.397,0
139522,37.23996759,126.7742328,302570.6669,4123814.588,0
139526,37.23996983,126.7742386,302571.1893,4123814.825,0
139531,37.23997241,126.7742447,302571.7302,4123815.099,0
139536,37.23997553,126.7742511,302572.3063,4123815.432,0
139540,37.23997837,126.7742565,302572.7921,4123815.735,0
139545,37.23998134,126.7742619,302573.2838,4123816.054,0
139549,37.23998392,126.7742666,302573.7036,4123816.33,0
139554,37.23998693,126.7742715,302574.1486,4123816.654,0
139558,37.2399903,126.7742763,302574.5848,4123817.018,0
139563,37.23999436,126.7742815,302575.0596,4123817.458,0
139568,37.23999786,126.7742856,302575.4311,4123817.837,0
139573,37.24000185,126.7742899,302575.8195,4123818.271,0
139578,37.24000625,126.7742942,302576.2161,4123818.75,0
139583,37.24001001,126.7742978,302576.5414,4123819.16,0
139588,37.24001465,126.774302,302576.927,4123819.666,0
139594,37.24001947,126.7743063,302577.323,4123820.192,0
139599,37.24002334,126.7743095,302577.6162,4123820.615,0
139603,37.24002761,126.7743128,302577.9201,4123821.082,0
139608,37.24003225,126.774316,302578.2173,4123821.59,0
139614,37.24003716,126.7743194,302578.5311,4123822.127,0
139619,37.24004129,126.7743223,302578.7954,4123822.58,0
139624,37.24004638,126.7743258,302579.1197,4123823.137,0
139629,37.24005099,126.7743289,302579.4132,4123823.642,0
139633,37.24005524,126.7743319,302579.6833,4123824.107,0
139637,37.24005966,126.7743349,302579.9645,4123824.592,0
139641,37.24006419,126.774338,302580.2529,4123825.088,0
139645,37.24006943,126.7743416,302580.5857,4123825.662,0
139649,37.24007435,126.774345,302580.8985,4123826.201,0
139653,37.24007993,126.7743488,302581.2523,4123826.811,0
139656,37.24008469,126.7743521,302581.5544,4123827.333,0
139660,37.24008947,126.7743554,302581.8578,4123827.857,0
139663,37.24009355,126.7743582,302582.116,4123828.304,0
139666,37.24009777,126.774361,302582.3829,4123828.766,0
139669,37.24010197,126.7743639,302582.6486,4123829.226,0
139672,37.24010623,126.7743668,302582.9183,4123829.692,0
139675,37.24011116,126.7743702,302583.2304,4123830.233,0
139678,37.24011552,126.7743732,302583.506,4123830.71,0
139682,37.24012167,126.7743774,302583.8931,4123831.384,0
139685,37.24012746,126.7743812,302584.2498,4123832.018,0
139689,37.24013303,126.7743849,302584.5928,4123832.628,0
139693,37.24013844,126.7743885,302584.9261,4123833.221,0
139697,37.24014303,126.7743915,302585.2067,4123833.724,0
139701,37.24014834,126.7743948,302585.5116,4123834.307,0
139705,37.2401534,126.7743979,302585.7974,4123834.862,0
139709,37.24015813,126.7744008,302586.0645,4123835.381,0
139713,37.24016284,126.7744036,302586.331,4123835.898,0
139717,37.24016821,126.7744069,302586.6338,4123836.486,0
139721,37.2401734,126.7744099,302586.9112,4123837.056,0
139725,37.2401787,126.7744126,302587.1692,4123837.638,0
139729,37.2401842,126.7744154,302587.4319,4123838.243,0
139733,37.24018983,126.7744183,302587.7003,4123838.862,0
139736,37.24019418,126.7744205,302587.9069,4123839.34,0
139739,37.24019857,126.7744226,302588.1095,4123839.822,0
139743,37.24020467,126.7744253,302588.3663,4123840.494,0
139747,37.24021078,126.7744279,302588.6056,4123841.166,0
139751,37.24021768,126.7744307,302588.8732,4123841.926,0
139754,37.24022371,126.774433,302589.0926,4123842.59,0
139758,37.24023019,126.7744353,302589.3198,4123843.304,0
139761,37.24023461,126.7744368,302589.4624,4123843.791,0
139764,37.24023969,126.7744383,302589.6083,4123844.352,0
139767,37.24024494,126.7744398,302589.7509,4123844.932,0
139770,37.24025084,126.7744413,302589.8973,4123845.584,0
139773,37.2402555,126.7744422,302589.9938,4123846.098,0
139776,37.24026074,126.774443,302590.0818,4123846.678,0
139779,37.2402657,126.7744437,302590.1541,4123847.227,0
139782,37.24027075,126.7744443,302590.2195,4123847.786,0
139785,37.24027587,126.7744447,302590.2696,4123848.353,0
139788,37.2402809,126.774445,302590.3102,4123848.911,0
139791,37.24028581,126.7744453,302590.3468,4123849.455,0
139794,37.24029088,126.7744454,302590.3714,4123850.018,0
139797,37.24029584,126.7744455,302590.3894,4123850.568,0
139800,37.24030086,126.7744454,302590.399,4123851.125,0
139803,37.24030584,126.7744453,302590.4006,4123851.677,0
139806,37.24031156,126.774445,302590.3929,4123852.313,0
139810,37.24031839,126.7744444,302590.3487,4123853.073,0
139813,37.24032338,126.7744434,302590.2817,4123853.628,0
139817,37.24032948,126.7744417,302590.1414,4123854.308,0
139821,37.24033453,126.7744394,302589.9527,4123854.873,0
139825,37.24033973,126.774436,302589.6601,4123855.457,0
139829,37.24034468,126.7744315,302589.2743,4123856.016,0
139833,37.24034843,126.7744272,302588.9056,4123856.441,0
139837,37.24035217,126.7744224,302588.4939,4123856.866,0
139841,37.24035555,126.7744182,302588.1222,4123857.251,0
139845,37.24035887,126.7744143,302587.7851,4123857.627,0
139850,37.24036289,126.77441,302587.4148,4123858.081,0
139855,37.24036714,126.7744054,302587.0247,4123858.563,0
139860,37.24037096,126.7744013,302586.6681,4123858.995,0
139864,37.24037432,126.7743974,302586.3284,4123859.376,0
139869,37.24037817,126.7743928,302585.9347,4123859.813,0
139873,37.24038154,126.7743887,302585.5784,4123860.195,0
139878,37.24038499,126.774384,302585.1679,4123860.588,0
139883,37.24038859,126.7743787,302584.7112,4123860.999,0
139888,37.24039163,126.7743741,302584.3081,4123861.345,0
139893,37.24039468,126.7743693,302583.8939,4123861.694,0
139898,37.24039759,126.7743648,302583.5014,4123862.026,0
139903,37.2404005,126.77436,302583.0784,4123862.359,0
139908,37.24040352,126.7743544,302582.5933,4123862.706,0
139914,37.24040642,126.7743489,302582.1149,4123863.04,0
139918,37.24040907,126.7743437,302581.6533,4123863.344,0
139924,37.24041191,126.774338,302581.1616,4123863.671,0
139928,37.24041432,126.7743333,302580.7441,4123863.948,0
139933,37.24041697,126.774328,302580.2822,4123864.254,0
139937,37.24041968,126.7743226,302579.8111,4123864.565,0
139942,37.24042262,126.7743167,302579.2994,4123864.904,0
139946,37.24042554,126.7743109,302578.7897,4123865.241,0
139950,37.24042832,126.7743054,302578.3061,4123865.56,0
139954,37.24043083,126.7743002,302577.8556,4123865.85,0
139958,37.24043369,126.7742943,302577.342,4123866.179,0
139962,37.24043697,126.7742876,302576.753,4123866.556,0
139966,37.24043971,126.774282,302576.26,4123866.872,0
139969,37.24044208,126.7742771,302575.8342,4123867.146,0
139972,37.24044446,126.7742722,302575.4069,4123867.42,0
139975,37.24044757,126.7742656,302574.8311,4123867.779,0
139978,37.24045065,126.7742587,302574.2228,4123868.136,0
139981,37.24045296,126.7742535,302573.7663,4123868.403,0
139984,37.24045535,126.774248,302573.2911,4123868.679,0
139987,37.24045807,126.7742419,302572.752,4123868.993,0
139990,37.24046052,126.7742363,302572.2648,4123869.277,0
139993,37.24046305,126.7742306,302571.7647,4123869.57,0
139997,37.24046636,126.7742231,302571.1081,4123869.952,0
140000,37.24046897,126.7742172,302570.5863,4123870.255,0
140003,37.24047149,126.7742114,302570.084,4123870.546,0
140007,37.24047488,126.7742037,302569.4078,4123870.939,0
140010,37.24047749,126.7741978,302568.888,4123871.241,0
140013,37.24048012,126.7741918,302568.3653,4123871.544,0
140016,37.24048274,126.7741858,302567.8433,4123871.848,0
140019,37.24048538,126.7741798,302567.3185,4123872.153,0
140022,37.24048769,126.7741746,302566.8577,4123872.421,0
140025,37.24049033,126.7741686,302566.3323,4123872.726,0
140028,37.24049304,126.7741624,302565.792,4123873.04,0
140031,37.24049603,126.7741556,302565.1988,4123873.385,0
140034,37.2404987,126.7741496,302564.6682,4123873.694,0
140037,37.24050143,126.7741434,302564.1263,4123874.01,0
140040,37.24050409,126.7741373,302563.5968,4123874.319,0
140043,37.24050641,126.7741321,302563.1359,4123874.587,0
140046,37.24050906,126.774126,302562.6082,4123874.894,0
140049,37.2405118,126.7741198,302562.0646,4123875.21,0
140052,37.2405145,126.7741137,302561.5274,4123875.523,0
140055,37.24051717,126.7741076,302560.9952,4123875.832,0
140058,37.24051986,126.7741015,302560.459,4123876.143,0
140061,37.24052257,126.7740953,302559.9178,4123876.456,0
140064,37.24052554,126.7740885,302559.3236,4123876.8,0
140067,37.24052787,126.7740832,302558.8596,4123877.07,0
140070,37.24053056,126.7740771,302558.3235,4123877.381,0
140073,37.24053324,126.774071,302557.7909,4123877.691,0
140075,37.24053543,126.774066,302557.3547,4123877.944,0
140078,37.24053772,126.7740608,302556.8982,4123878.21,0
140081,37.24054041,126.7740547,302556.3626,4123878.521,0
140084,37.24054311,126.7740486,302555.8248,4123878.833,0
140087,37.24054584,126.7740424,302555.2811,4123879.149,0
140090,37.2405485,126.7740363,302554.7502,4123879.457,0
140093,37.24055119,126.7740302,302554.2154,4123879.768,0
140096,37.2405539,126.774024,302553.6739,4123880.082,0
140099,37.24055692,126.7740171,302553.0723,4123880.431,0
140102,37.24055926,126.7740118,302552.607,4123880.701,0
140104,37.24056191,126.7740058,302552.0769,4123881.009,0
140106,37.24056411,126.7740008,302551.6404,4123881.262,0
140109,37.24056642,126.7739955,302551.1798,4123881.53,0
140112,37.2405691,126.7739894,302550.645,4123881.84,0
140115,37.24057185,126.7739832,302550.096,4123882.159,0
140118,37.24057485,126.7739763,302549.4993,4123882.506,0
140121,37.2405772,126.773971,302549.0315,4123882.777,0
140124,37.24057986,126.7739649,302548.501,4123883.086,0
140126,37.24058206,126.77396,302548.0646,4123883.339,0
140129,37.24058436,126.7739547,302547.6065,4123883.606,0
140132,37.24058707,126.7739486,302547.0677,4123883.919,0
140135,37.24058979,126.7739424,302546.526,4123884.234,0
140138,37.24059245,126.7739364,302545.9978,4123884.541,0
140140,37.24059467,126.7739313,302545.5542,4123884.799,0
140143,37.24059702,126.773926,302545.0874,4123885.071,0
140146,37.24059969,126.7739199,302544.5561,4123885.38,0
140148,37.24060194,126.7739148,302544.1083,4123885.64,0
140151,37.24060422,126.7739096,302543.6545,4123885.904,0
140154,37.24060691,126.7739035,302543.1213,4123886.215,0
140156,37.24060911,126.7738985,302542.6846,4123886.469,0
140159,37.24061183,126.7738923,302542.1422,4123886.785,0
140162,37.2406146,126.773886,302541.5928,4123887.105,0
140165,37.24061727,126.77388,302541.0608,4123887.414,0
140168,37.24062001,126.7738737,302540.5155,4123887.73,0
140171,37.2406227,126.7738676,302539.9789,4123888.042,0
140174,37.24062505,126.7738623,302539.5109,4123888.314,0
140177,37.24062772,126.7738562,302538.9808,4123888.623,0
140179,37.24062991,126.7738512,302538.5382,4123888.876,0
140182,37.24063221,126.7738458,302538.0718,4123889.143,0
140185,37.24063484,126.7738397,302537.5381,4123889.447,0
140188,37.24063756,126.7738334,302536.9855,4123889.762,0
140191,37.24064056,126.7738265,302536.3763,4123890.11,0
140194,37.24064322,126.7738203,302535.837,4123890.417,0
140197,37.24064585,126.7738142,302535.3016,4123890.722,0
140200,37.24064852,126.773808,302534.7582,4123891.031,0
140203,37.24065138,126.7738012,302534.158,4123891.363,0
140206,37.24065445,126.7737935,302533.4883,4123891.72,0
140209,37.24065697,126.7737872,302532.9333,4123892.012,0
140212,37.24065943,126.7737809,302532.386,4123892.299,0
140215,37.24066189,126.7737747,302531.838,4123892.585,0
140218,37.2406644,126.7737683,302531.2791,4123892.877,0
140221,37.24066688,126.773762,302530.7277,4123893.165,0
140224,37.24066934,126.7737558,302530.1809,4123893.451,0
140227,37.24067183,126.7737495,302529.6263,4123893.741,0
140230,37.24067397,126.773744,302529.1507,4123893.989,0
140232,37.24067643,126.7737378,302528.6052,4123894.275,0
140234,37.24067851,126.7737326,302528.1446,4123894.516,0
140237,37.24068059,126.7737273,302527.6844,4123894.758,0
140240,37.24068309,126.773721,302527.1308,4123895.049,0
140243,37.24068559,126.7737147,302526.5785,4123895.339,0
140246,37.24068806,126.7737084,302526.0287,4123895.627,0
140249,37.24069051,126.7737022,302525.4847,4123895.911,0
140251,37.24069258,126.773697,302525.0253,4123896.151,0
140253,37.24069499,126.7736909,302524.4871,4123896.433,0
140256,37.24069746,126.7736846,302523.9373,4123896.72,0
140259,37.24069988,126.7736785,302523.4,4123897.001,0
140262,37.24070218,126.7736726,302522.8891,4123897.268,0
140265,37.24070444,126.7736669,302522.388,4123897.531,0
140269,37.24070738,126.7736594,302521.7315,4123897.872,0
140272,37.24070952,126.7736536,302521.2218,4123898.123,0
140276,37.24071216,126.7736463,302520.5766,4123898.43,0
140280,37.24071468,126.7736391,302519.9498,4123898.725,0
140284,37.24071707,126.7736318,302519.3015,4123899.006,0
140288,37.24071913,126.7736244,302518.6547,4123899.249,0
140292,37.24072077,126.773617,302517.9987,4123899.447,0
140296,37.24072205,126.7736086,302517.2624,4123899.606,0
140299,37.24072281,126.773602,302516.6744,4123899.705,0
140303,37.24072349,126.7735958,302516.1264,4123899.793,0
140307,37.24072419,126.7735894,302515.5664,4123899.884,0
140311,37.24072493,126.7735828,302514.9823,4123899.98,0
140316,37.24072562,126.7735763,302514.4018,4123900.07,0
140320,37.24072606,126.7735702,302513.8655,4123900.131,0
140324,37.24072625,126.7735643,302513.3429,4123900.165,0
140329,37.24072646,126.7735569,302512.6881,4123900.204,0
140333,37.2407265,126.7735505,302512.1194,4123900.222,0
140337,37.24072648,126.7735444,302511.5773,4123900.232,0
140342,37.2407263,126.7735382,302511.0246,4123900.225,0
140346,37.240726,126.7735324,302510.51,4123900.204,0
140351,37.24072537,126.7735259,302509.9346,4123900.147,0
140356,37.24072421,126.7735187,302509.2927,4123900.033,0
140361,37.24072304,126.7735127,302508.7519,4123899.916,0
140366,37.24072143,126.7735056,302508.1194,4123899.753,0
140371,37.24071993,126.7734994,302507.5705,4123899.6,0
140375,37.24071834,126.773494,302507.0835,4123899.434,0
140380,37.24071589,126.7734872,302506.472,4123899.177,0
140384,37.24071374,126.7734822,302506.0209,4123898.948,0
140388,37.24071083,126.7734766,302505.5229,4123898.637,0
140393,37.24070731,126.773471,302505.0155,4123898.258,0
140398,37.24070323,126.7734656,302504.5271,4123897.816,0
140403,37.24069994,126.7734616,302504.1573,4123897.46,0
140408,37.24069597,126.7734566,302503.7091,4123897.03,0
140413,37.24069237,126.7734521,302503.3024,4123896.639,0
140417,37.24068906,126.773448,302502.9293,4123896.281,0
140421,37.24068557,126.7734437,302502.5363,4123895.903,0
140425,37.24068194,126.7734392,302502.1271,4123895.51,0
140429,37.24067775,126.7734342,302501.6728,4123895.055,0
140433,37.24067426,126.7734301,302501.3021,4123894.677,0
140437,37.24067039,126.7734257,302500.8969,4123894.257,0
140441,37.24066653,126.7734213,302500.5031,4123893.836,0
140445,37.24066254,126.7734171,302500.117,4123893.403,0
140449,37.240658,126.7734128,302499.723,4123892.908,0
140453,37.24065423,126.7734096,302499.426,4123892.497,0
140457,37.24065001,126.7734063,302499.127,4123892.035,0
140461,37.24064593,126.7734034,302498.8573,4123891.589,0
140464,37.24064182,126.7734005,302498.586,4123891.138,0
140468,37.24063704,126.7733971,302498.2716,4123890.615,0
140472,37.24063298,126.7733942,302498.0038,4123890.171,0
140476,37.24062839,126.7733908,302497.6957,4123889.669,0
140480,37.24062367,126.7733873,302497.369,4123889.152,0
140484,37.24061874,126.7733836,302497.0284,4123888.613,0
140488,37.24061369,126.7733798,302496.6794,4123888.06,0
140490,37.24060961,126.7733767,302496.3968,4123887.614,0
140493,37.24060546,126.7733736,302496.1104,4123887.161,0
140496,37.24060152,126.7733707,302495.8389,4123886.729,0
140499,37.24059738,126.7733676,302495.5535,4123886.276,0
140502,37.2405932,126.7733645,302495.2649,4123885.819,0
140505,37.24058899,126.7733613,302494.9738,4123885.358,0
140508,37.24058339,126.7733571,302494.5882,4123884.745,0
140511,37.24057906,126.7733539,302494.29,4123884.272,0
140514,37.24057468,126.7733506,302493.9875,4123883.793,0
140517,37.24057021,126.7733473,302493.6801,4123883.303,0
140520,37.24056567,126.7733441,302493.3841,4123882.807,0
140523,37.24056107,126.773341,302493.1017,4123882.302,0
140526,37.24055624,126.7733379,302492.8097,4123881.773,0
140529,37.24055089,126.7733344,302492.4879,4123881.187,0
140532,37.24054616,126.7733313,302492.2039,4123880.668,0
140535,37.2405412,126.7733281,302491.9066,4123880.125,0
140538,37.24053707,126.7733255,302491.6593,4123879.672,0
140541,37.24053225,126.7733223,302491.3662,4123879.144,0
140543,37.24052814,126.7733195,302491.1107,4123878.694,0
140546,37.24052336,126.7733163,302490.813,4123878.17,0
140549,37.24051849,126.773313,302490.5088,4123877.636,0
140552,37.24051361,126.7733098,302490.2048,4123877.102,0
140555,37.24050877,126.7733065,302489.9032,4123876.572,0
140558,37.24050449,126.7733036,302489.6368,4123876.103,0
140561,37.24049962,126.7733003,302489.3333,4123875.569,0
140564,37.24049471,126.773297,302489.0277,4123875.031,0
140567,37.24048983,126.7732938,302488.7236,4123874.496,0
140569,37.24048578,126.773291,302488.4719,4123874.053,0
140572,37.24048105,126.7732879,302488.1772,4123873.535,0
140575,37.24047609,126.7732845,302487.8677,4123872.991,0
140578,37.24047181,126.7732816,302487.6008,4123872.522,0
140581,37.24046692,126.7732784,302487.297,4123871.986,0
140584,37.24046202,126.7732751,302486.9927,4123871.45,0
140587,37.24045709,126.7732717,302486.6854,4123870.909,0
140590,37.24045215,126.7732684,302486.3768,4123870.369,0
140593,37.24044723,126.7732651,302486.0688,4123869.829,0
140596,37.24044229,126.7732618,302485.7611,4123869.289,0
140599,37.24043737,126.7732585,302485.4547,4123868.749,0
140602,37.24043245,126.7732551,302485.1482,4123868.21,0
140605,37.24042755,126.7732518,302484.8424,4123867.673,0
140608,37.24042254,126.7732485,302484.5303,4123867.124,0
140611,37.24041761,126.7732452,302484.2237,4123866.585,0
140614,37.24041265,126.7732418,302483.9154,4123866.041,0
140617,37.2404078,126.7732386,302483.615,4123865.51,0
140619,37.24040373,126.7732359,302483.3618,4123865.064,0
140621,37.24039893,126.7732326,302483.0626,4123864.538,0
140624,37.24039402,126.7732293,302482.756,4123864,0
140627,37.24038908,126.773226,302482.4468,4123863.459,0
140630,37.24038415,126.7732226,302482.1385,4123862.918,0
140633,37.24037858,126.7732189,302481.7928,4123862.309,0
140636,37.24037264,126.7732149,302481.4231,4123861.657,0
140639,37.24036837,126.7732121,302481.1577,4123861.19,0
140642,37.24036345,126.7732087,302480.852,4123860.651,0
140645,37.24035851,126.7732054,302480.5441,4123860.109,0
140648,37.24035356,126.7732021,302480.2359,4123859.567,0
140651,37.24034863,126.7731988,302479.9295,4123859.028,0
140654,37.24034367,126.7731955,302479.6216,4123858.483,0
140657,37.24033875,126.7731922,302479.3164,4123857.945,0
140660,37.24033384,126.7731889,302479.0112,4123857.407,0
140663,37.24032893,126.7731856,302478.7055,4123856.869,0
140666,37.24032399,126.7731823,302478.3983,4123856.327,0
140669,37.24031903,126.7731789,302478.0902,4123855.784,0
140672,37.24031412,126.7731756,302477.7861,4123855.246,0
140675,37.24030909,126.7731723,302477.4744,4123854.696,0
140678,37.24030403,126.7731689,302477.1594,4123854.141,0
140681,37.24029865,126.7731652,302476.8237,4123853.551,0
140684,37.24029418,126.7731622,302476.5457,4123853.061,0
140687,37.24028978,126.7731593,302476.2721,4123852.579,0
140691,37.24028425,126.7731556,302475.9274,4123851.974,0
140695,37.24027906,126.7731521,302475.602,4123851.405,0
140699,37.24027422,126.7731488,302475.2991,4123850.875,0
140703,37.2402701,126.773146,302475.0406,4123850.423,0
140707,37.24026597,126.7731432,302474.7805,4123849.971,0
140712,37.2402607,126.7731396,302474.4483,4123849.394,0
140717,37.24025661,126.7731368,302474.1898,4123848.946,0
140722,37.24025263,126.7731341,302473.9375,4123848.51,0
140727,37.24024828,126.7731311,302473.6607,4123848.033,0
140733,37.2402443,126.7731283,302473.4075,4123847.597,0
140739,37.24024017,126.7731255,302473.1441,4123847.145,0
140747,37.24023594,126.7731226,302472.875,4123846.682,0
140755,37.24023193,126.7731198,302472.6185,4123846.243,0
140765,37.24022768,126.7731169,302472.3472,4123845.777,0
140776,37.24022351,126.773114,302472.0802,4123845.32,0
140788,37.24021932,126.7731111,302471.8124,4123844.862,0
140800,37.24021525,126.7731083,302471.5516,4123844.416,0
140813,37.24021105,126.7731054,302471.2822,4123843.956,0
